2025-02-28 11:06:01,845 [INFO] - Episode 50, Reward: 272.27, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 11:07:06,832 [INFO] - Episode 60, Reward: 512.05, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 11:07:39,990 [INFO] - Episode 64, Reward: 517.57, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 11:09:13,844 [INFO] - Episode 10, Reward: 270.16, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 11:10:19,080 [INFO] - Episode 20, Reward: 497.40, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 11:11:52,165 [INFO] - Episode 30, Reward: 275.99, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 11:12:53,065 [INFO] - Episode 40, Reward: 529.34, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 11:14:19,963 [INFO] - Episode 50, Reward: 297.52, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 11:15:26,063 [INFO] - Episode 60, Reward: 328.07, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 11:15:58,088 [INFO] - Episode 64, Reward: 324.78, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 11:17:32,745 [INFO] - Episode 10, Reward: 524.45, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 11:18:36,644 [INFO] - Episode 20, Reward: 310.88, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 11:20:11,992 [INFO] - Episode 30, Reward: 526.01, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 11:21:21,313 [INFO] - Episode 40, Reward: 334.84, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 11:22:56,273 [INFO] - Episode 50, Reward: 341.62, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 11:24:05,545 [INFO] - Episode 60, Reward: 544.92, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 11:24:41,361 [INFO] - Episode 64, Reward: 304.27, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 11:26:31,222 [INFO] - Episode 10, Reward: 521.20, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 11:27:41,616 [INFO] - Episode 20, Reward: 507.85, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 11:29:25,622 [INFO] - Episode 30, Reward: 544.66, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 11:30:37,317 [INFO] - Episode 40, Reward: 536.06, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 11:32:29,987 [INFO] - Episode 50, Reward: 524.82, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 11:33:42,574 [INFO] - Episode 60, Reward: 529.48, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 11:34:14,678 [INFO] - Episode 64, Reward: 338.22, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 11:35:50,048 [INFO] - Episode 10, Reward: 514.56, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 11:36:54,326 [INFO] - Episode 20, Reward: 534.66, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 11:38:28,531 [INFO] - Episode 30, Reward: 515.90, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 11:39:30,565 [INFO] - Episode 40, Reward: 526.42, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 11:41:00,256 [INFO] - Episode 50, Reward: 314.54, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 11:42:03,273 [INFO] - Episode 60, Reward: 531.52, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 11:42:33,196 [INFO] - Episode 64, Reward: 355.22, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 11:42:33,671 [INFO] - Episode 10 Ä£ÐÍÒÑ±£´æ: f:\code\aigui-model-service\data\models\layout\layoutModel_10_540.16.pth
2025-02-28 11:44:02,313 [INFO] - Episode 10, Reward: 310.88, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 11:45:04,709 [INFO] - Episode 20, Reward: 320.96, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 11:46:32,499 [INFO] - Episode 30, Reward: 317.68, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 11:47:34,366 [INFO] - Episode 40, Reward: 515.95, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 11:49:02,117 [INFO] - Episode 50, Reward: 541.58, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 11:50:03,383 [INFO] - Episode 60, Reward: 314.51, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 11:50:33,288 [INFO] - Episode 64, Reward: 334.96, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 11:52:03,221 [INFO] - Episode 10, Reward: 534.72, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 11:53:04,929 [INFO] - Episode 20, Reward: 519.20, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 11:54:32,875 [INFO] - Episode 30, Reward: 336.59, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 11:55:33,679 [INFO] - Episode 40, Reward: 536.04, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 11:57:01,973 [INFO] - Episode 50, Reward: 531.51, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 11:58:02,764 [INFO] - Episode 60, Reward: 334.80, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 11:58:32,400 [INFO] - Episode 64, Reward: 334.84, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 12:00:00,650 [INFO] - Episode 10, Reward: 311.00, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 12:01:02,356 [INFO] - Episode 20, Reward: 524.73, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 12:02:29,384 [INFO] - Episode 30, Reward: 321.38, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 12:03:30,919 [INFO] - Episode 40, Reward: 534.12, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 12:04:58,586 [INFO] - Episode 50, Reward: 304.36, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 12:05:58,607 [INFO] - Episode 60, Reward: 524.73, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 12:06:28,244 [INFO] - Episode 64, Reward: 324.62, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 12:07:57,291 [INFO] - Episode 10, Reward: 536.11, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 12:08:58,377 [INFO] - Episode 20, Reward: 524.51, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 12:10:26,432 [INFO] - Episode 30, Reward: 317.82, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 12:11:27,369 [INFO] - Episode 40, Reward: 307.42, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 12:12:56,245 [INFO] - Episode 50, Reward: 529.40, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 12:13:57,783 [INFO] - Episode 60, Reward: 502.49, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 12:14:28,487 [INFO] - Episode 64, Reward: 551.68, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 12:15:57,064 [INFO] - Episode 10, Reward: 320.48, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 12:16:58,016 [INFO] - Episode 20, Reward: 314.18, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 12:18:26,093 [INFO] - Episode 30, Reward: 317.67, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 12:19:27,225 [INFO] - Episode 40, Reward: 520.71, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 12:20:55,220 [INFO] - Episode 50, Reward: 317.89, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 12:21:56,300 [INFO] - Episode 60, Reward: 529.30, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 12:22:26,452 [INFO] - Episode 64, Reward: 344.98, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 12:23:55,577 [INFO] - Episode 10, Reward: 525.38, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 12:24:57,801 [INFO] - Episode 20, Reward: 520.66, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 12:26:25,844 [INFO] - Episode 30, Reward: 540.73, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 12:27:26,390 [INFO] - Episode 40, Reward: 342.49, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 12:28:56,217 [INFO] - Episode 50, Reward: 542.80, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 12:29:57,543 [INFO] - Episode 60, Reward: 502.55, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 12:30:27,805 [INFO] - Episode 64, Reward: 542.83, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 12:31:58,711 [INFO] - Episode 10, Reward: 296.90, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 12:33:00,366 [INFO] - Episode 20, Reward: 356.54, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 12:34:28,867 [INFO] - Episode 30, Reward: 293.29, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 12:35:29,811 [INFO] - Episode 40, Reward: 520.48, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 12:36:57,885 [INFO] - Episode 50, Reward: 533.94, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 12:37:59,744 [INFO] - Episode 60, Reward: 518.02, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 12:38:30,928 [INFO] - Episode 64, Reward: 515.89, Steps: 10, Epsilon: 0.010, Temperature: 0.500
